,type,text,logit_score,pred_score
0,本文,乃信姫に見とれた鼠小僧,0.0,0.0
1,本文,「曲者！」という女性の声。,0.0,0.0
2,本文,しばらくあって入り乱れる足音。,0.0,0.0
3,本文,「あっちでござる！」,-0.7639445662498474,-0.5676488280296326
4,本文,「いやこっちじゃ！」,0.0,0.0
5,本文,宿直の武士の犇き合う声。,0.7806558609008789,0.5265172123908997
6,本文,文政末年春三月、桜の花の真っ盛り。,0.5799511075019836,0.5391556024551392
7,本文,所は芝二本榎、細川侯の下邸だ。,0.0,0.0
8,本文,邸内に大きな松の木がある。,0.0,0.0
9,本文,その一本の太い枝に一人の小男が隠れていた。,0.0,0.0
10,本文,豆絞の手拭スットコ冠り、その奥から眼ばかり光らせ高縁の辺りを見詰めている。,0.9447224140167236,0.5325552821159363
11,本文,腕を組み体を縮め足を曲げて胸へ着けた様子、ざっと針鼠と云った塩梅、これが曲者当人である。,0.5967152714729309,0.48772814869880676
12,本文,「ええどうでえ美人じゃねえか。,-0.8468428254127502,-0.48923230171203613
13,本文,どうもこいつア耐らねえな。,-0.7931201457977295,-0.5206230282783508
14,本文,ああやって薙刀をトンと突き縁に立った様子と来たらとても下等の女じゃねえ。,0.0,0.0
15,本文,正にお大名の姫君様よ。,1.5189067125320435,0.7605680823326111
16,本文,吉原にだってありゃアしねえ。,0.0,0.0
17,本文,へ、ほんとに耐らねえや。,-0.7809109091758728,-0.5255206823348999
18,本文,……が、それにしても今夜の俺らを仲間が聞いたら何と云うだろう？おおおおそれでも鼠小僧かえ、どう致しまして土鼠小僧だアね、なるほどお手許金頂戴でよ、大名屋敷へ忍ぶと云やア、豪勢偉そうに聞こえるけれど、細川様の姫君に見とれ茫然突立っているもんだから、眼覚めた姫君に見咎められ、曲者なんて叫ばれたので何にも取らずに飛び出したあげく、それこそほんに鼠のようにあっちへ追われ、こっちへ追われ逃げ場をなくして松の木へ飛び付き漸呼吸を吐いたなんて、へ、それでも稼人けえ？鼠小僧も箍が弛んだな。,-0.6233890056610107,-0.492319256067276
19,本文,――なアんと云われねえものでもねえ。,0.0,0.0
20,本文,……が、云う奴は云うがいいや。,0.0,0.0
21,本文,そんな奴とは交際しねえばかりよ。,-0.606153130531311,-0.4867613613605499
22,本文,そういう奴に見せてやりてえくらいだ。,0.0,0.0
