,type,text,logit_value,pred_value,logit_score,pred_score,label_name
0,本文,１,0.5937814116477966,0.47171342372894287,0.0,0.0,NEUTRAL
1,本文,「まゆみちゃん、何のお話かと思って飛んで来たら、いやあよ、またあの縁談なの？私はやっぱり一生独身で、芸術に精進する積りなんだから、お断りしますよ」,0.3470604717731476,0.4588069021701813,0.3470604717731476,0.4588069021701813,POSITIVE
2,本文,百合子はさっぱりと云った。,1.1317743062973022,0.6943113207817078,0.0,0.0,NEUTRAL
3,本文,まゆみは彼女が一度いやだと云い出したらどんなにすすめてみたところで無駄だと知っていたので、黙っていると、百合子はまゆみの気持ちを損じたとでも思ったのか、駅前の闇市で買ってきたという南京豆入りの飴を出してすすめ、自分も口に入れて、,0.7955296039581299,0.4941694736480713,0.7955296039581299,0.4941694736480713,POSITIVE
4,本文,「内玄関で薬剤師の竹村春枝さんに会ったわ。,0.6342921257019043,0.5068968534469604,0.6342921257019043,0.5068968534469604,POSITIVE
5,本文,あのひと、また来ているの？」,0.4170827269554138,0.404700368642807,-0.4170827269554138,-0.404700368642807,NEGATIVE
6,本文,と話をかえた。,0.8126659989356995,0.5597754716873169,0.0,0.0,NEUTRAL
7,本文,「そう。,0.5632330179214478,0.5326021313667297,0.0,0.0,NEUTRAL
8,本文,疎開先から戻って来たけれど行くところがないんですって、それで当分薬局を手伝って頂く事にしたの、でもねえ、開業医だって、この頃、とても楽じゃないわ。,0.8684002757072449,0.5881659388542175,0.0,0.0,NEUTRAL
9,本文,竹村さんがいた時分のように景気もよくないし、第一あなた、旧円から新円にかわる時、沢山な患者さん達がしこたま旧円を預けに来たんでしょう、それがみんな預金になっちゃって出せないんだから、今じゃまるで遊びよ、忙しいけれどただ働きみたいなもの。,0.786108672618866,0.5955089330673218,0.0,0.0,NEUTRAL
10,本文,竹村さん、月給はいらないからッて云うんだけれど、月給なんか知れたもんよ、それよりか食糧のかかりが大変だわ」,1.8607854843139648,0.8385172486305237,0.0,0.0,NEUTRAL
11,本文,百合子は薄い唇を曲げて、,0.7432867288589478,0.5767922401428223,0.0,0.0,NEUTRAL
12,本文,「断わっちまいなさいよ。,1.1689532995224,0.691494882106781,-1.1689532995224,-0.691494882106781,NEGATIVE
13,本文,私、あんな高慢ちき女大嫌いさ。,0.2738153040409088,0.4160670042037964,0.0,0.0,NEUTRAL
14,本文,美人ぶっていて――」,0.5029649138450623,0.45635250210762024,0.0,0.0,NEUTRAL
15,本文,まゆみと百合子は従妹同志で両方とも一人娘だったので、幼少い時から姉妹のように仲好くしていた。,2.0449419021606445,0.8110928535461426,2.0449419021606445,0.8110928535461426,POSITIVE
16,本文,年も同年の二十四、身長も同じ五尺一寸、色白のぱちりとした目鼻だち、うすでの感じまでよく似ている。,1.4912328720092773,0.7240676879882812,1.4912328720092773,0.7240676879882812,POSITIVE
