,type,text,logit_score,pred_score
0,見出し,一,0.0,0.0
1,本文,スタンダールは彼の墓銘として「生きた、書いた、恋した」,0.0,0.0
2,本文,という言葉を選んだということである。,0.0,0.0
3,本文,スタンダールについて語る人は、殆んど例外なしに、この言葉を引用している。,0.0,0.0
4,本文,まことにスタンダールらしい言葉、スタンダールの生涯を最もよく象徴した言葉だと、人は言う。,1.4587541818618774,0.6957642436027527
5,本文,たしかにその通りであろう。,0.0,0.0
6,本文,その点に関しては、私にはいささかの異議はない。,0.0,0.0
7,本文,しかし、私はスタンダールはこんな墓銘を作らなかった方がよかったのではないかと思う。,0.0,0.0
8,本文,引用するのは後世の勝手だが、しかし、スタンダールを語るのに非常に便利な言葉、手掛りになるような言葉として引用されるようなものを、下手に残して置かない方が、スタンダールらしかったのではないかと、私は考えるのだ。,0.0,0.0
9,本文,ことにそれが墓銘ときては、何か気障っぽい。,-3.7420759201049805,-0.9938187003135681
10,本文,余りにも感傷的なスタンダールが感じられて、いやなのだ。,-2.9243850708007812,-0.9786339998245239
11,本文,スタンダールとしても、後世引用されると思えば恐らくそんな墓銘を選ぶのを避けたに違いない。,0.0,0.0
12,本文,墓銘とか辞世とか遺書とかいうものを、読むのを私は好まない。,-1.0315366983413696,-0.6673389673233032
13,本文,死ということは甚だ重要だから、何か書いて残したい気持はよく判るし、せめてそれによってやがて迫る鉛のような死の沈黙の底を覗く寂しさを、まぎらわしたいという気持も判るのだが、しかし、私は「重要なことは最も簡潔に描くべし」という一種の技巧論を信じているから、例えば映画でも、息も絶え絶えの状態にしては余りに声も大きく、言葉も明瞭に、断末魔の科白をいやという程喋ったあげく、大写しの中で死んで行く主演俳優の死の姿よりも、大部屋連中が扮した、まるで大根でも斬るように斬られて、ころりと転がってしまう目明しの黙々とした死の姿の方にむしろ死のリアリティを感ずるのである。,0.0,0.0
14,本文,山下奉文の死は、新聞で見ると何だかあっけなく、それ故にこそ一層死んだという感じがしたのだが、最近その余り上手でもない辞世が新聞に出ているのを読んだ時、私は幻滅した。,-2.5653162002563477,-0.9645039439201355
15,本文,私は座談会に出席して一言も喋らないような人を畏敬しているのである。,0.0,0.0
16,本文,女を口説くにも「唖の一手」の方が成功率が多い。,0.0,0.0
17,本文,議論する時は、声の大きい方が勝ちだというのは一応の真理だが、私は一言も喋らずに黙っている方が勝つということを最近発見した。,1.0962514877319336,0.6313630938529968
18,本文,口は喋るためのみについているのではあるまい。,0.0,0.0
19,本文,議論している間、欠伸ばかししているか、煙草ばかしふかしておれば、相手は兜を脱ぐにきまっている。,-0.970725417137146,-0.5892766714096069
20,本文,墓銘など、だから私はまかり間違っても作らないつもりである。,-0.7801927328109741,-0.5166587829589844
21,本文,よしんば作っても、スタンダールのように、,-1.2699003219604492,-0.597690761089325
22,本文,「生きた、書いた、恋した」,1.0826321840286255,0.6178730726242065
23,本文,というような言葉を選べるほど、私は充実した人生を送って来なかった。,-2.592238664627075,-0.9654935002326965
24,本文,まかりまちがって墓銘を作るとすれば、せいぜい、,0.0,0.0
25,本文,「私は煙草を吸った」,0.0,0.0
26,本文,と、いう文句ぐらいしか出て来ないであろう。,-1.773336410522461,-0.7728829383850098
27,本文,これで十分である。,0.9405189156532288,0.5488867163658142
28,本文,私は煙草を吸って来たのだ。,0.0,0.0
29,本文,もっとも、そのような文句では余りに芸がないというなら、,0.0,0.0
30,本文,「煙草について、私の唯一の制限は、一回に一本より余計の煙草を吸わないことであった。,0.0,0.0
31,本文,私はけっして眠っている間は吸わなかった。,0.0,0.0
32,本文,そして、眼ざめている間は、けっしてそれを捨てなかった」,0.0,0.0
33,本文,とでもすれば、気が利いているだろうか。,0.0,0.0
34,本文,しかし、之はマーク・トゥエーンの言葉である。,0.0,0.0
35,本文,マーク・トゥエーンという作家は私の読んだ限りでは大した作家ではない。,0.0,0.0
36,本文,まだしもオー・ヘンリーやカミの方が才能があるが、しかし、オー・ヘンリーやカミといえども二流、三流である。,0.0,0.0
37,本文,私はうぬぼれかも知れないが、オー・ヘンリーやカミやマーク・トゥエーンよりはましな小説が書けると思っている。,2.1749684810638428,0.8988795280456543
38,本文,私がマーク・トゥエーンに注目しているのは、だから彼の小説に関してではない。,0.0,0.0
39,本文,マーク・トゥエーンは一日に四十本の葉巻を吸った。,0.0,0.0
40,本文,そのことに注目しているのである。,0.0,0.0
41,本文,が、これとても大したことはない。,0.0,0.0
42,本文,私は一日に百本の煙草を吸っている。,0.9504998922348022,0.6208503246307373
43,本文,多い日は百三十本吸ったこともある。,0.0,0.0
44,本文,その点では、マーク・トゥエーンには負けないつもりである。,0.8031076192855835,0.5846319794654846
45,本文,しかし、,-1.6059190034866333,-0.6235248446464539
46,本文,「煙草について、私の唯一の制限は……」,0.0,0.0
47,本文,云々という彼の名文句には、さすがの私も参った。,1.0080698728561401,0.6183983087539673
